rowid,letter
1,ぁ
2,あ
3,ぃ
4,い
5,ぅ
6,う
7,ぇ
8,え
9,ぉ
10,お
11,か
12,が
13,き
14,ぎ
15,く
16,ぐ
17,け
18,げ
19,こ
20,ご
21,さ
22,ざ
23,し
24,じ
25,す
26,ず
27,せ
28,ぜ
29,そ
30,ぞ
31,た
32,だ
33,ち
34,ぢ
35,っ
36,つ
37,づ
38,て
39,で
40,と
41,ど
42,な
43,に
44,ぬ
45,ね
46,の
47,は
48,ば
49,ぱ
50,ひ
51,び
52,ぴ
53,ふ
54,ぶ
55,ぷ
56,へ
57,べ
58,ぺ
59,ほ
60,ぼ
61,ぽ
62,ま
63,み
64,む
65,め
66,も
67,ゃ
68,や
69,ゅ
70,ゆ
71,ょ
72,よ
73,ら
74,り
75,る
76,れ
77,ろ
78,ゎ
79,わ
80,ゐ
81,ゑ
82,を
83,ん
84,ァ
85,ア
86,ィ
87,イ
88,ゥ
89,ウ
90,ヴ
91,ェ
92,エ
93,ォ
94,オ
95,ヵ
96,カ
97,ガ
98,キ
99,ギ
100,ク
101,グ
102,ヶ
103,ケ
104,ゲ
105,コ
106,ゴ
107,サ
108,ザ
109,シ
110,ジ
111,ス
112,ズ
113,セ
114,ゼ
115,ソ
116,ゾ
117,タ
118,ダ
119,チ
120,ヂ
121,ッ
122,ツ
123,ヅ
124,テ
125,デ
126,ト
127,ド
128,ナ
129,ニ
130,ヌ
131,ネ
132,ノ
133,ハ
134,バ
135,パ
136,ヒ
137,ビ
138,ピ
139,フ
140,ブ
141,プ
142,ヘ
143,ベ
144,ペ
145,ホ
146,ボ
147,ポ
148,マ
149,ミ
150,ム
151,メ
152,モ
153,ャ
154,ヤ
155,ュ
156,ユ
157,ョ
158,ヨ
159,ラ
160,リ
161,ル
162,レ
163,ロ
164,ヮ
165,ワ
166,ヰ
167,ヱ
168,ヲ
169,ン
